,Text,target,charcaters_count,words_count,sentence_count
0,"لا تفوتها! احصل على 250 دقيقة محلية من موبايلي لجميع الشبكات صالحة لمدة شهر كامل مقابل 25 ريال فقط. للإشتراك بالباقة أو لتجديد اشتراكك في حال انتهاء رصيد الدقائق المجانية لديك, ارسل 8250 الى 1100!  الإشتلراك يتجدد تلقائيا نهاية المدة, اذا كنت ترغب في الغاء اشتراكك بالعرض, فضلا ارسل 8251 إلى 1100.",ham,297,59,4
1,"موقع Novo Resumes موقع عجيب تسوي منه سيرتك الذاتية بتصميم وبطريقة احترافية
استخدامه سهل كل اللي عليك انك تدخل البيانات المطلوبة وتقدر تضيف وتحذف اقسام
مجاني للقالب الاساسي
وتقدر تشتري قوالب بسعر رخيص
بس المجاني يكفي صراحة 👌🏼
جربوه انصحكم فيه
novoresume.com",ham,256,42,1
2,"✋🏻 الحقوا  *بدء التقديم اليوم*

🔵 *100 وظيفة إدارية وفنية للرجال والنساء في وزارة البيئة .. رابط التقديم هنا*👇🏻

https://ksa-wats.com/33935

انشروها اكسبوا الأجر  لإخوانكم ♻♻♻",ham,175,32,1
3,"ياحلوات ♥️♥️👏🏼
مهارة عندهم عرض خصم ٥٥٪ على عاملات الساعة للعقد مدة شهر 

يكون شهر أربع زيارات *كل زيارة ٥ ساعات* ✨
 ب ٣٠٠ ريال تقريبا للجنسية الفلبينية او الأندونيسية وأقل لباقي الجنسيات 👌🏼 

https://twitter.com/maharahr/status/1032004222676545536?s=12

بلغوا اللي حولكم لو أحد محتاج يستفيد من العرض ",ham,300,50,1
4,"اطمئن*🕊

يوماً ما ستُدرك أن أقسى ما مررت به كان خيراً عظيماً أنقذك ليجعلك أقوى مما كُنت عليه🌿
يوماً ما سيأتي مايفرح قلبك ليس عـلماً بالغيب 
وإنما ثقة برب رؤوف رحيم 
فلا يعقُب الأحزان إلا *{سعادة}*
ولايعقُب الحرمان إلا *{عطاء}*
ليس قولي ..
إنما قول ربي سبحانه :
*((سيجعل اللَّہ بعد عُسرٍ يُسرا))*🌿",ham,296,70,1
5,"فإذا قبضت الروح وأدخل القبر أتى إليه الثبات 
يثبت الله الذين آمنوا بالقول الثابت
يثبت يوم يأتيه أيضا عمله الصالح على هيئة رجل فيقول له أنا عملك الصالح يستبشر به و بوجه 
فإذا كان على هذا الحال ووضع في قبره أتاه هذا العمل يدافع عنه فلو أراد العذاب ان يأتيه من قبل رأسه قالت الصلاة ما قبلي مدخل
 فأي صلاة صلاتنا ؟ 💔😭
وقال الصيام عن يمينه ما قبلي مدخل!!
الله يرحم ضعفنا وقلة حيلتنا 

وكانت الزكاة والصدقات عند شماله قالت ما قبلي مدخل
وكان فعل الخيرات من المعروف والإحسان عند رجليه قالت ما قبلي مدخل

ثم يجيب أسئلته الثلاث التي يعلم ان الله تعالى قد أعد لهذا السؤال تثبيت وجوابا أن هو صدق مع الله سبحانه وتعالى",ham,605,120,2
6,"الخدمات الإلكترونيه السعوديه
الله يبيض وجهه اللي سواها 👍

https://w10w.net/serves/",ham,82,12,1
7,"تخيل تحاسب على قهوتك بمسحة جوال.. 
أو تسحب كاش بدون بطاقة صراف.. 

حمل STC Pay وتفاجأ كيف حياتك تصير أسهل. 
ما في زي STC Pay 
اضغط على الرابط للتحميل: 
https://www.stcpay.com.sa/sms/download",ham,190,36,2
8,"عبدالرحمن
رسالة من سليمان الراجحي للمقبلين على التجارة
http://bit.ly/2XVBPG9",ham,76,11,1
9,"مجتمعين؟ أي ٢ بيتزا كبيرة مع طلب جانبي بـ ٧٥ ريال بس! طوال الأسبوع، لطلبات الأونلاين المستلمة من الفرع.
http://dp.vg/p/Offer",ham,124,24,3
10,"اشترك الحين في خدمة ""صحيفة الرياض"" وخلّك أول من يعرف بآخر الأخبار الرياضية، وذلك مقابل 40 هللة يوميًا. 
 للاشتراك اضغط على الرابط التالي: 
 https://goo.gl/XsvCJV  
 أو أرسل 1 إلى 808588",ham,185,35,2
11,"قال صلى الله عليه وسلم: ""المؤمن في ظل صدقته يوم القيامة""
ساهم في بناء وصيانة المساجد
للتبرع بـ 1 ريال يومياً للوقف أرسل 5 إلى 5112
للتبرع بـ 12 ريال شهرياً أرسل 11 الى 5112
للتبرع مرة واحدة بـ 10 ريال أرسل رسالة فارغة إلى 5112

المؤسسة الخيرية للعناية بمساجد الطرق",ham,264,54,1
12,"http://eservices.wmn.gov.sa:8081/eservices/seasonal_emps/ 

الرئاسة العامة الحرمين الشريفين تعلن عن فتح استقبال و تسجيل طلبات التوظيف الموسمي لموسمي رمضان والحج 1440",ham,165,20,1
13,"دائماً نكرر عبارة ليه انا اللي أسوي ؟ ليه انا اللي أجيب ؟ 
ليه أنا اللي أساعد و أبادر ؟ ولا أجد مقابل !

قال رسول الله صلى الله عليه و سلم :
رأيت أقواماً من أمتي على منابر من نور ، يمرون على الصراط گالبرق الخاطف ، نورهم تشخص منه الأبصار ،
لا هم بالأنبياء ولا الصديقين ولا الشهداء ، 
( إنهم أقوام تقضى على أيديهم حوائج الناس ) ..💚",ham,329,72,2
14,"السلام عليكم ورحمة الله وبركاته

مثل ما في العنوان 
اسم القناة ""سعود وسارة"" من أفضل قنوات
الأطفال هدفها تعليم القرآن وغرس الفضيلة
في نفس الطفل وتقديمه في مسلسل
بأسلوب مشوق ومحبب للطفل 

اشتركوا لاطفالكم وشاهدوا مسلسل سعود وساره اول مسلسل يعلم الاطفال القران الكريم. 
وهذا هو الرابط: اضغط واشترك
http://www.youtube.com/c/saudwesara

انشر واحتسب الأجر",ham,349,59,2
15,"محل (دار ستر) لبيع الملابس المحتشمة
انشروها للناس قبل العيد
فإن من أعظم مايؤرق العفيفات وأولياءهن اللباس الساتر الراقي!
ادعموهم 
سترهم الله كما يسعون في ستر نساء المسلمين!👇🏻👇🏻👇🏻",ham,177,33,2
16,"🔵 عاجل ..
شركات الاتصالات العاملة بالمملكة تعاود من جديد حجب الاتصال عبر تطبيق الواتساب .
✍ ""الراصد نيوز""
  https://t.me/dream_vu/29551",ham,135,24,2
17,"🎬 *فيديو يظهر لحظة الاصطدام والانفجار المروع لقطار مصر المنكوب*
https://news-ksa.net/21505
",ham,91,15,1
18,"✈️ *الخطوط السعودية تعلّق الرحلات من وإلى باكستان*
https://news-ksa.net/21503",ham,77,13,1
19,"🎬 *بالفيديو.. خريجات التربية يروين معاناتهن.. إحداهن عملت في محل للحلويات وأخرى عاطلة وهي تحمل الماجستير*
https://news-ksa.net/21499",ham,132,23,1
20,"رساله صباحية 
اللهم إنا نساألك حياة سعيدة، رفقة صالحة نهاية عمر جميلة، رزق مبارك، أدعية مستجابة،  أمنيات محققة، وجنًة لنا ولوالدينا ولمن نحب  

🍃اصبحنا وأصبح الملك لله 🍃♥️",ham,171,28,1
21,"عزيزي المواطن/ ـة ..
""باب ماجاء في #التستر_التجاري"" يحتوي على تعاريف ، أمثلة، وقصص حقيقية .
تصفحه من خلال الرابط التالي 
: bit.ly/2EkqEPL 


البرنامج الوطني لمكافحة التستر التجاري",ham,179,31,2
22,"التقويم الدراسي بعد التعديلات 
الجديدة بتمديد إجازات منتصف العام للسنوات الثلاث القادمه أسبوعين. 

https://w10w.net/i/d",ham,119,17,2
25,"🔰🔰🔰🔰🔰🔰🔰

{ إن الأبرار لفي نعيم وإن الفجار لفي جحيم }

*لا تظن أن هذه الآية تختص بيوم المعاد فقط بل هؤلاء في نعيم في دورهم الثلاثة : الدنيا والبرزخ والآخرة وأولئك في جحيم في دورهم الثلاثة!*
*وأي لذة ونعيم في الدنيا أطيب من بر القلب وسلامة الصدر، ومعرفة الرب تعالى، ومحبته، والعمل على موافقته؟!*🌷صلواعلى الحبيب 🌷                                                      💚 ربي إرحمهماكماربياني صغيرا 💚
—————————-",ham,405,70,3
26,"المحك الحقيقي لأخلاقك سيتجلى عند غضبك و مدى تحكمك و سيطرتك على انفعالاتك فلا تغضب  ..

.
..
...

🌹 صباح الهدوء ..",ham,113,23,2
27,يسر عمادة الدراسات الجامعية للطالبات دعوتكن لحضور اللقاء السنوي لطالبات مقر الزاهر بعنوان (نحن صناع السعادة) الأربعاء ١٤٤٠/٣/٢٠ الساعة ١١:٣٠ص الى ١٢:٣٠م في قاعة الجوهرة https://uq.sa/mzEo5y,ham,189,30,1
28,دعوة للمؤهلين-المؤهلات في التدريب تسجيل في دليل المدربين والمدربات بقسم التدريب https://uqu.edu.sa/cscet/App/Forms/Show/6602,ham,124,14,1
29,معا لأجل التمكين - سجل رغبتك في الحضور للمشاركة في الخطة الاستراتيجية، وسيتم السحب على ٦ أجهزة آيباد https://uq.sa/zYq4Vx,ham,121,21,1
30,"نسالك يارب في هذه الجمعه ‏أن تحفظ علينا النـعـم وتدفع عنا النـقـم وأن ترزقنا حـلو الحـياة وخـير العـطاء وسـعـة الرزق وراحـة البـال
‏ولبـاس العـافـيـة وحسـن الخاتـمـة 
واكتب اليُسر لمن يعاني من العُسر والراحه لمن به هم والسعاده لمن لازمه الحُزن والشفاء لمن لامسه المرض والمغفرة لمن سبقنا للقبر والإجابة لمن يدعيك .

﴿ اللَّهُم صَلِّ وسَـلِّم علَى نَبِينَا محمدﷺ﴾",ham,361,59,2
31,من أسباب زوال الهموم وغفران الذنوب الصلاة على النبي ﷺ، ويوم الجمعة يكون أثر الصلاة أعظم، قال النبي ﷺ للمصلي عليه (تُكفى همك ويُغفر لك ذنبك),ham,139,28,1
32,"مركز بوابة المنطق للتدريب
يعلن عن إقامة  أساسيات صيانة الجوال في نسختها السادسة

التفاصيل
أقوى برنامج تدريب دورة أساسيات صيانة الجوال بالطائف

بواقع 25ساعة و 5 أيام


بشهادة معتمدة من المؤسسة العامة للتدريب التقني والمهني
رقم الاعتماد 21445781




شروط التسجيل
أن يكون المتدرب حاصل على الاقل شهادة المتوسط

رابط التسجيل
https://goo.gl/forms/ubRRlfgMIHQkGqaT2",ham,358,53,1
33,"السلام عليكم ورحمة الله وبركاته
الإخوة والأخوات الباحثين والباحثات عن عمل
نرجو التكرم بملء الاستبيان في الرابط أدناه قبل يوم الأحد 3 مارس 2019
ونرجو الاجابة بدقة على أسئلة الاستبيان للوصول إلى نتائج بحثية دقيقة
عنوان البحث : البطالة وتحدياتها في ضوء رؤية المملكة 2030
يهدف البحث لتحديد تحديات البطالة التي تواجه الشباب والشابات في المملكة العربية السعودية وإيجاد الحلول المناسبة لها 
شاكرين لكم كرم استجابتكم
https://docs.google.com/forms/d/e/1FAIpQLSeHa6unEWOICXfh6XOQXDmTT5eGPOujNUFqylAe2gTRBc_a8Q/viewform",ham,508,69,1
34,لأول مره في مدينه الطائف بتنظيم من مجموعة أتعلم التقنية وبدعم من مبادره العطاء الرقمي وحاضنة بادر دوره أساسيات الأردوينو ( مجانا ) ملاحظه : في حال تسجيلك يرجى انتظار رسالة تأكيد التسجيل  لتسجيل https://goo.gl/forms/y90vxpbxozCeHJXF3,ham,232,37,1
35,الحلقة السادسة لسلسلة قلبية متميزة 👌 ❤    قلب يتعبد بالرجاء    ❤   رابطه الحلقة على الساوند 👇 https://soundcloud.com/user-738639575/6-3 رابط الحلقة على اليوتيوب 👇 https://youtu.be/Xh8zq4sFGx8,ham,191,27,1
36,للاستثمار الأمثل للوقت: سماع أربع كتب تفسير 🎧  ١. التفسير المُيسر ٢. المختصر في التفسير ٣. تفسير السعدي ٤. تفسير ابن جُزي ✨ يعمل وأنت تتصفح جهازك. https://read.tafsir.one/ قد لا تجد وقتا للسماع، لكنك لن تعدم وقتا للنشر,ham,218,46,6
37,ربي يبلغني فيك اعلى المراكز,ham,27,5,1
38,يالله أوصيك بقلبها فأسعدها دوماً، احفظ تلك الروح الجميلة، يارب وأرزقها الجنة ، املىء ثغرها بالفرحة وحقق أمنياتها ، اللهم لاتدع لها أمراً إلا يسرته ولا حلماً إلا حققته ولا أمنية إلا أسعدتها بالعيش في جمال واقعها ,ham,211,37,1
